clue,answer,definition,source,source_url,puzzle_date
"Acquisitive chap, as we see it (8)",COVETOUS,Acquisitive,times_xwd_times,https://times-xwd-times.livejournal.com/2185818.html,2019-08-08
Back yard fencing weak and sagging (6),DROOPY,sagging,times_xwd_times,https://times-xwd-times.livejournal.com/2185818.html,2019-08-08
"Stripping off uniform, love holding colonel's coat (10)",UNCLOTHING,Stripping,times_xwd_times,https://times-xwd-times.livejournal.com/2185818.html,2019-08-08
Without a mark where they should be gained (4),EXAM,where they should be gained,times_xwd_times,https://times-xwd-times.livejournal.com/2185818.html,2019-08-08
"Put a stop to Rugby's foul school leader (5,2,3,4)",KNOCK ON THE HEAD,Put a stop to,times_xwd_times,https://times-xwd-times.livejournal.com/2185818.html,2019-08-08
Foreign letter coming in is the French letter (7),EPISTLE,letter,times_xwd_times,https://times-xwd-times.livejournal.com/2185818.html,2019-08-08
Charge to pack knick-knacks hurriedly (7),AGITATO,hurriedly,times_xwd_times,https://times-xwd-times.livejournal.com/2185818.html,2019-08-08
"At first, bear one fruit or another (7)",BANANAS,another,times_xwd_times,https://times-xwd-times.livejournal.com/2185818.html,2019-08-08
Cited tot defending authoritarian leader (7),ADDUCED,Cited,times_xwd_times,https://times-xwd-times.livejournal.com/2185818.html,2019-08-08
"Heady mixture of qualities nurse developed (7,7)",TEQUILA SUNRISE,Heady mixture,times_xwd_times,https://times-xwd-times.livejournal.com/2185818.html,2019-08-08
